Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Lepomis_gibbosus,Fanning,0.180354532,0.14229209,0.129216725,0.17422044,0.220784506,0.161512944,0.181146751,0.196747735,0.166434552,0.150949282,0.028941268,0.017094021,0.019204915,0.056818872,-0.019237193,0.031543284,-0.012704317,0.03473729,0.000206378,0.046944729
Micropterus_dolomieu,Fanning,0.136563409,0.202362868,0.202672371,0.241953941,0.106072946,0.227927036,0.133565098,0.191431332,0.153327377,0.174196675,0.017077028,-0.022156476,0.011328102,-0.001046076,-0.009106537,0.023521211,-0.016136927,0.023278756,-3.64E-06,0.00946647
Micropterus_salmoides,Fanning,0.149964462,0.066391934,0.155611519,0.073753968,0.073420416,0.110789391,0.110206815,0.03346525,0.062384684,0.050742066,-0.068937555,-0.03231442,-0.020798114,-0.020986285,-0.015669996,-0.024631098,-0.000680219,-0.044765154,0.004120194,0.013568984
Echiichthys_vipera,NonFanning,-0.052084056,0.007057326,-0.045254252,0.02383239,0.033416101,-0.05902508,-0.003908191,-0.027391664,-0.00128424,0.001498982,-0.025054148,-0.086356326,-0.055603595,-0.043884503,-0.078184307,-0.047650852,-0.054102853,-0.057201157,-0.024003394,-0.058247547
Etheostoma_nigrum,Fanning,-0.053175632,-0.045841903,-0.020401871,0.035558344,-0.047929695,-0.013246078,-0.007964287,-0.03883766,-0.091191594,-0.07529241,0.047575849,0.029474271,0.027798793,0.011670533,0.028583214,0.006942831,-0.007130191,0.00084729,0.00703831,-0.012427151
Etheostoma_radiosum,Fanning,0.086099096,0.115218729,0.10554405,0.088489292,0.054751053,0.076576823,0.065522315,0.081669273,0.068484224,0.097204648,-0.083718592,-0.082921911,-0.041771865,-0.068971233,-0.082374288,-0.081870463,-0.079697722,-0.070141925,-0.085891923,-0.076404621
Etheostoma_crossopterum,Fanning,0.206769352,0.256231839,0.288278299,0.263069423,0.269032702,0.237836967,0.353101816,0.264552742,0.289600694,0.327737115,-0.004279956,0.007562699,-0.012417256,0.024167486,0.04229574,-0.016428256,-0.000906752,0.000756421,0.014181162,-0.04328275
Etheostoma_flabellare,Fanning,0.072426915,0.048531251,0.013431833,0.019301618,0.05678489,-0.013165651,0.009002688,-0.042149193,-0.01901866,0.00705828,0.070229072,0.014708541,0.034068818,0.021992874,0.056610447,0.039177716,0.038963294,0.00588772,0.056893717,0.042805073
Notothenia_coriiceps,NonFanning,0.429395863,0.393232806,0.43652528,0.41538331,0.411610186,0.383833013,0.384621547,0.437792802,0.419326304,0.40471772,-0.029922183,-0.039140513,-0.041610921,-0.042969887,-0.032027225,-0.051705674,-0.020885368,-0.040654472,-0.011706607,-0.03161644
Harpagifer_bispinis,Fanning,0.436311474,0.444845709,0.540599043,0.414023795,0.482700446,0.531012339,0.505475802,0.446830046,0.47541033,0.480882769,-0.031291492,-0.065759927,-0.033324316,-0.09358067,-0.04631627,-0.03333174,-0.061692492,-0.043046796,-0.051890788,-0.026290565
Paralabrax_clathratus,NonFanning,0.149821518,0.094553371,0.190530127,0.180910917,0.116789948,0.109685199,0.123298643,0.179830619,0.188926385,0.176923644,0.084593959,0.043568809,0.028718134,0.071437914,0.061512257,0.065869981,0.041736871,0.082079517,0.056944555,0.054837204
Platycephalus_indicus,NonFanning,0.043573545,0.093229589,0.021148266,0.028874107,0.057251967,0.036044016,0.078234865,0.054950629,0.07891853,0.056232065,-0.075110225,-0.067759286,-0.064881583,-0.026404748,-0.034969258,-0.054679064,-0.06548768,-0.060602324,-0.072312658,-0.041805647
Scorpaena_scrofa,NonFanning,0.128507221,0.135704877,0.143434411,0.152391375,0.108212874,0.113830914,0.169917612,0.187530692,0.178439528,0.134362509,0.03327707,0.082536343,0.078179389,0.036654958,0.048563609,0.061228273,0.071128991,0.034047882,0.06742865,0.077069842
Chelidonichthys_lucerna,NonFanning,-0.236481795,-0.243102539,-0.26138397,-0.183390809,-0.244438265,-0.222119366,-0.235190567,-0.232047381,-0.2666414,-0.24234857,-0.047440715,-0.010285452,-0.032503662,0.004422173,-0.019218098,-0.040295894,-0.023559683,-0.03477334,-0.020214115,-0.031373766
Trigloporus_lastoviza,NonFanning,-0.198327471,-0.177891112,-0.227467143,-0.22439613,-0.186524566,-0.216733798,-0.192413141,-0.231343162,-0.231161334,-0.196568694,0.027201701,0.001930048,-0.012083074,-0.016042398,0.036599567,-0.004658828,-0.000231872,-0.004951835,-0.013535045,0.004651462
Lepidotrigla_microptera,NonFanning,-0.217668521,-0.233892991,-0.234486813,-0.197011404,-0.189349866,-0.177394477,-0.185978646,-0.166572174,-0.206734378,-0.216221119,-0.002832717,0.005094235,-0.002207481,0.018692522,-0.022347039,0.025010036,0.010845118,0.022122233,-0.000129762,0.017148006
Lepidotrigla_papilio,NonFanning,-0.06063176,-0.03936511,-0.008718219,-0.10790295,-0.120461857,-0.100491076,-0.085235584,-0.073097013,-0.079859957,-0.098811176,-0.033354702,0.013524628,-0.055649171,-0.064694309,-0.010894373,-0.034136294,-0.014655015,-0.045740085,-0.036689909,0.02844426
Gasterosteus_wheatlandi,Fanning,0.31742622,0.339529207,0.296329456,0.295440418,0.233615498,0.291577127,0.228646816,0.331885408,0.263698788,0.248942192,0.025450645,0.025447048,0.054786628,-0.000571052,0.048756862,0.047928702,0.039180767,0.035987986,0.03960236,0.020906903
Gasterosteus_aculeatus,Fanning,0.20340926,0.122513376,0.163775939,0.190295688,0.188738755,0.198813278,0.184848496,0.209302953,0.209280356,0.187058158,-0.067283649,-0.048501429,-0.038393049,-0.054785106,-0.054960311,-0.027197586,-0.030051981,-0.031831735,-0.055241783,-0.039276646
Spinachia_spinachia,Fanning,0.228463394,0.274660238,0.230546065,0.28078758,0.236861529,0.300025538,0.274203566,0.303037088,0.276520044,0.265049155,0.047200841,0.057095761,0.078379813,0.072575385,0.081180548,0.060038665,0.104979939,0.072706557,0.052766831,0.049628337
