Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Macruronus_novaezelandiae,NonFanning,-0.032483387,0.019440255,-0.07698636,-0.051467735,-0.077125715,0.010576738,-0.089722344,-0.048618542,-0.005971381,-0.029868851,0.051322405,0.065054933,0.085928659,0.045907763,0.060485021,0.037961945,0.03848069,0.040347697,0.066121748,0.064012874
Bregmaceros_atlanticus,NonFanning,-0.064808388,-0.118415792,-0.185722195,-0.102317937,-0.093838113,-0.097878267,-0.089386881,-0.134410104,-0.126230848,-0.11866828,0.025994429,0.043479983,0.050136457,0.026751635,0.038046658,0.017171574,0.023010564,0.008187861,0.016153447,0.013055295
Bregmaceros_mcclellandi,NonFanning,-0.199450119,-0.210507813,-0.095396274,-0.228139596,-0.175224424,-0.20038063,-0.218300311,-0.139943829,-0.198505716,-0.182953437,0.072428624,0.050367079,0.061086214,0.040969789,0.048494919,0.027757753,0.029517609,0.044598071,0.037174903,0.055538415
Hymenocephalus_italicus,NonFanning,-0.263291223,-0.16339833,-0.17669674,-0.226124128,-0.17867444,-0.171789141,-0.204955197,-0.169697427,-0.167622496,-0.155112786,0.002907783,0.029192873,0.003368596,-0.014482095,0.082428106,0.023459115,0.023680204,0.008079684,0.024427155,0.01876248
Nezumia_sclerorhynchus,NonFanning,-0.036038992,-0.060132467,-0.068854001,-0.040633672,-0.04485566,-0.075664667,-0.042803215,-0.03988328,-0.022018282,-0.113916633,-0.008666052,0.025072083,0.020316429,0.015771223,0.03231241,0.055265312,0.031021891,0.034867102,0.035814632,0.039468258
Nezumia_aequalis,NonFanning,-0.211315299,-0.202407221,-0.16791714,-0.197553663,-0.247201798,-0.172860235,-0.196531228,-0.211940072,-0.236080669,-0.230823113,0.080634522,0.047408573,0.033070222,0.01734906,0.022414416,0.036911027,0.024544529,0.047970494,0.017765778,0.053488402
Albatrossia_pectoralis,NonFanning,-0.096449316,-0.078480762,-0.10848788,-0.108651153,-0.112595791,-0.127424065,-0.091294579,-0.116868683,-0.089694669,-0.087537679,0.040341684,-0.02271492,-0.001161055,-0.019215726,-0.01572935,-0.032475222,-3.56E-05,-0.016720729,-0.032323145,-0.004808362
Zu_cristatus,NonFanning,-0.077227807,-0.054529186,-0.08975572,-0.127407151,-0.095192885,-0.084644157,-0.116422679,-0.10952745,-0.09342603,-0.058748146,-0.00965505,0.019120304,0.033024833,0.026866604,0.049920066,0.020527134,-0.010421508,0.001514302,0.023832494,0.056915447
Carapus_dubius,NonFanning,0.150540667,0.129400217,0.074700005,0.105041096,0.15302181,0.135928442,0.116721873,0.12673107,0.141316057,0.130105622,-0.056652812,-0.002552321,-0.056274897,-0.003378803,-0.036610021,-0.027796707,0.017570554,-0.014178483,0.003342386,-0.018150008
Cherublemma_emmelas,NonFanning,-0.148500355,-0.154744995,-0.126008844,-0.223640956,-0.249826141,-0.226789016,-0.193105718,-0.196438725,-0.189329651,-0.196799039,-0.045091587,-0.054563725,-0.072582363,-0.049221859,-0.036171445,-0.042633293,-0.066694258,-0.053913694,-0.025563645,-0.024433396
Genypterus_capensis,NonFanning,0.048587169,0.022395336,0.021496814,0.055301516,0.020039435,0.017622407,0.047109796,-0.018852319,0.060054135,0.069011172,-0.006708787,-0.017466237,-0.015074492,-0.016043944,-0.021035966,-0.014152371,-0.020387104,-0.006453891,-0.022822223,5.98E-05
Genypterus_tigerinus,NonFanning,0.08972595,0.077431081,0.143692291,0.099709116,0.060736956,0.117137285,0.139299902,0.100129098,0.119367061,0.08422756,-0.027982806,-0.045155273,-0.035997972,-0.019418806,-0.037121854,-0.014525819,-0.021140597,-0.072130841,-0.041496135,-0.036654126
Genypterus_blacodes,NonFanning,0.146549164,0.163913793,0.111474758,0.097745765,0.165069458,0.116889086,0.150316213,0.102826784,0.138817265,0.153185594,-0.046565177,-0.067913985,-0.040523235,-0.083067211,-0.106237796,-0.090306008,-0.044484711,-0.115710188,-0.045705891,-0.074834681
Parophidion_vassali,NonFanning,0.155296164,0.190186673,0.205806255,0.123015405,0.155943871,0.157535427,0.194749975,0.078173648,0.112335177,0.18919507,-0.07630414,-0.063880433,-0.073193763,-0.060965983,-0.041683145,-0.04162301,-0.053813319,-0.005543149,-0.073629493,-0.047262873
Opsanus_tau,Fanning,0.32243705,0.276381662,0.295607903,0.228979352,0.28453901,0.266554754,0.294610554,0.259505046,0.308174901,0.214294583,0.077973357,0.0674707,0.083343962,0.039327373,0.094398387,0.070292021,0.070448626,0.096287973,0.078449556,0.053256195
Porichthys_notatus,Fanning,0.25438005,0.249369461,0.188231201,0.191493152,0.222525522,0.23782049,0.207894972,0.197692237,0.234303364,0.19543122,-0.131501618,-0.148507194,-0.094068297,-0.122795729,-0.098473395,-0.132561121,-0.114220904,-0.12637117,-0.104154128,-0.13051356
Calotomus_japonicus,NonFanning,0.244924591,0.225476492,0.282016946,0.252427995,0.19342398,0.25680425,0.186582905,0.228514234,0.152795286,0.23535576,0.111459875,0.158781287,0.127193847,0.122181112,0.098994498,0.105192105,0.118130877,0.16878825,0.131022635,0.143277664
Tautoga_onitis,NonFanning,0.257907068,0.277586454,0.268720538,0.246313745,0.236360726,0.214987502,0.231005848,0.295679358,0.247890654,0.231077754,0.080330247,0.088641168,0.100630905,0.114049373,0.063283476,0.091375016,0.098007545,0.100454131,0.099663794,0.101073505
Ctenolabrus_rupestris,NonFanning,0.093144678,0.031664457,0.061748948,0.049871288,0.057123059,0.108548957,0.05623926,0.051531058,0.117001866,0.050094484,0.041249992,0.075517452,0.087497849,0.060559772,0.076942424,0.045816928,0.070036372,0.060207425,0.044810355,0.035425326
Symphodus_melops,Fanning,0.232671649,0.234224073,0.188404808,0.263232887,0.218812428,0.231417807,0.18272083,0.255491386,0.213499146,0.222226037,0.050939066,0.025060901,0.020572816,0.015662422,0.031991104,0.042592029,0.015812167,0.055957492,0.015019977,0.05868581
Linophryne_arborifera,NonFanning,0.25317231,0.167721978,0.262646825,0.226156094,0.263785883,0.21418576,0.226365339,0.232925707,0.243689503,0.217411003,-0.115354386,-0.152566467,-0.170026245,-0.14032716,-0.165525119,-0.156068521,-0.114937769,-0.138610023,-0.123524294,-0.130755815
Lactoria_diaphana,NonFanning,-0.158385657,-0.12420087,-0.089127928,-0.10211508,-0.134281203,-0.150906831,-0.144451436,-0.16829753,-0.12058827,-0.039094682,-0.010085481,-0.025514063,0.024220529,-0.00106165,-0.005685618,-0.006995498,0.01337213,0.004447519,0.055631292,-0.020006572
Balistes_capriscus,Fanning,0.307128696,0.265699724,0.276705375,0.344626208,0.276073741,0.259792121,0.290102278,0.304517733,0.313888745,0.29916261,-0.033650905,-0.074132297,-0.101934947,-0.020691889,-0.065591745,-0.111386041,-0.050446775,-0.088999752,-0.062912304,-0.067423517
Chilomycterus_schoepfii,NonFanning,0.100287237,0.092319694,0.066508153,0.080713179,0.089003734,0.105494351,0.143849748,0.165670082,0.044067621,0.085837984,-0.094931268,-0.083917562,-0.089230836,-0.090251968,-0.088275324,-0.077737184,-0.075453415,-0.024440566,-0.066360049,-0.035727929
Diodon_holocanthus,NonFanning,0.307298554,0.236097732,0.247483289,0.294712211,0.277101986,0.230588594,0.249832188,0.250922321,0.292086385,0.296418903,0.172478187,0.115622593,0.13153454,0.133504396,0.09143894,0.105813978,0.093800371,0.138703073,0.084272704,0.134148867
Diodon_hystrix,NonFanning,0.228376729,0.181824251,0.130085723,0.231240614,0.225624958,0.152880737,0.259219074,0.242614098,0.24702895,0.235490432,0.135718261,0.129432538,0.112920276,0.106123946,0.162684233,0.116719229,0.136786496,0.078781202,0.107263941,0.113497883
Tetraodon_cutcutia,Fanning,0.202988467,0.185692828,0.192890081,0.210774817,0.134035987,0.113340412,0.187149123,0.205580842,0.228726859,0.167255567,-0.053008288,-0.048457579,-0.122402945,-0.069598117,-0.037449758,-0.059745448,-0.089865997,-0.040867955,-0.054929685,-0.079525341
Tetraodon_palembangensis,Fanning,0.026567263,-0.003888671,0.029790315,-0.007066734,0.0063399,0.019732177,-0.015418441,0.03643037,0.059934553,-0.013438667,-0.094363456,-0.098061421,-0.109769055,-0.141034406,-0.151820551,-0.134118993,-0.126723777,-0.133412358,-0.14302976,-0.153290304
Monotrete_cochinchinensis,Fanning,0.249219835,0.232037389,0.255993183,0.261896632,0.218259868,0.216361224,0.190005667,0.226682053,0.275563288,0.265173504,-0.017186704,-0.033673946,-0.04052301,-0.018885427,-0.010767757,-0.035698516,-0.031338983,0.012713077,-0.054531686,-0.052190549
Tetraodon_turgidus,Fanning,0.263940818,0.234789473,0.326340529,0.296696667,0.275972885,0.23927642,0.263839474,0.23969574,0.284874096,0.320539268,-0.111591754,-0.102316892,-0.098767618,-0.117736524,-0.080722311,-0.069854244,-0.055573413,-0.070936383,-0.075894514,-0.072991643
Acanthurus_nigroris,NonFanning,-0.19223536,-0.191429856,-0.191383006,-0.219467527,-0.234042625,-0.166240783,-0.229818575,-0.177154752,-0.218878351,-0.228924192,0.042680848,0.045835201,0.007311691,0.044513744,0.031696434,0.030830328,0.024085944,-0.002970144,0.046666079,0.046448179
Leiostomus_xanthurus,NonFanning,-0.014661349,-0.096718973,-0.022242691,-0.040519216,-0.00784938,-0.004822927,-0.06078541,0.011912413,-0.039017533,-0.005251935,0.035847016,0.081929495,0.032549408,0.095351537,0.081872045,0.04306763,0.020287174,0.001362595,0.050765911,0.068251335
Argyrosomus_regius,NonFanning,-0.020646676,-0.068691978,-0.031354503,0.002984537,-0.023554804,-0.0310813,-0.071382337,-0.062374114,-0.029120776,-0.093157713,-0.007866567,0.037884528,0.017138149,0.021918932,0.043852886,0.009451492,0.003765915,0.081276116,0.019176477,0.038966082
Miichthys_miiuy,NonFanning,-0.039629053,0.061149095,0.016660217,-0.097624678,0.067168992,0.007916313,0.057691744,0.007021151,0.009478869,0.028377134,0.036142049,0.072680094,0.046689359,0.074097603,0.035794592,0.056604154,0.052654883,0.068588005,0.074106201,0.039916005
Caulolatilus_microps,NonFanning,-0.231904557,-0.272378623,-0.28377547,-0.274835781,-0.280833194,-0.266795413,-0.239163833,-0.300051581,-0.224301175,-0.24227465,-0.103719217,-0.03801003,-0.107742517,-0.09254347,-0.061001695,-0.106365773,-0.098692649,-0.123943176,-0.104332491,-0.074463509
Lagodon_rhomboides,NonFanning,-0.234033091,-0.209566884,-0.183092474,-0.180390512,-0.187197403,-0.228127421,-0.175501624,-0.208617021,-0.259771379,-0.170517414,0.020543379,0.012740002,0.053479882,0.034460233,0.008095599,0.005525424,-0.002244819,-0.038415017,0.01430763,-0.0147788
Acanthopagrus_australis,NonFanning,-0.264679335,-0.362905831,-0.252230975,-0.280652656,-0.274808432,-0.327436815,-0.390154013,-0.365491081,-0.30285403,-0.305695844,-0.021068945,-0.023973222,-0.013957006,0.035838607,-0.038772995,-0.016470053,-0.014152304,-0.002765774,-0.026885662,-0.00763283
Prognathodes_aculeatus,NonFanning,0.227089567,0.245721254,0.172667087,0.24314162,0.194313859,0.249767661,0.271582249,0.212404776,0.219631814,0.168323498,-0.034998243,-0.024293645,-0.042138547,-0.004149274,-0.038796456,-0.023452033,0.000633678,-0.024394717,0.002254765,7.72E-05
Ocyurus_chrysurus,NonFanning,-0.182078528,-0.170670845,-0.202712703,-0.173586071,-0.198049633,-0.156767027,-0.176433139,-0.2209347,-0.260035712,-0.211140553,-0.01740205,-0.047894137,-0.007557402,-0.051121278,0.021229185,-0.0387894,-0.037757012,-0.031773351,-0.029371359,-0.04200905
Lutjanus_peru,NonFanning,-0.164420796,-0.125803649,-0.133312804,-0.176281362,-0.205344694,-0.183785018,-0.150320252,-0.125234354,-0.143841401,-0.126689575,0.019368592,0.047392483,0.011093063,0.045522616,0.012011034,0.011632247,0.02486749,0.035412711,0.025339092,0.021879036
Lutjanus_russellii,NonFanning,-0.366635284,-0.267997196,-0.257883792,-0.302973881,-0.295067053,-0.352213703,-0.370321718,-0.31222661,-0.337184443,-0.31453951,-0.04292344,-0.077763304,-0.06894147,-0.055973601,-0.020011361,-0.024664069,-0.077074383,-0.032249499,-0.055752521,-0.069589452
Uranoscopus_japonicus,NonFanning,0.293433955,0.315962645,0.324582393,0.309740654,0.358159195,0.31975692,0.339727855,0.356828301,0.288418112,0.303300837,0.075541628,0.078998428,0.107550788,0.055727213,0.114797076,0.095636145,0.089616114,0.05276421,0.080444078,0.076949612
Ammodytes_tobianus,NonFanning,-0.026311206,-0.065443803,0.026195974,-0.061112281,-0.031592972,-0.03352105,-0.097503423,-0.033356009,-0.043090676,-0.065499037,0.088712071,0.075896763,0.094809842,0.099625155,0.088428383,0.096394884,0.075441237,0.097943611,0.053368754,0.077474003
Ammodytes_hexapterus,NonFanning,-0.195621849,-0.138506047,-0.135295814,-0.162675931,-0.161272612,-0.213659453,-0.184453074,-0.14431544,-0.158250669,-0.214654254,-0.011957712,0.039622927,0.022848569,0.038587302,0.034802771,0.022109806,0.004733114,0.0252082,0.019135252,0.020989857
Ammodytoides_gilli,NonFanning,-0.117352604,-0.129241951,-0.151207116,-0.114353771,-0.107617497,-0.142334153,-0.099629439,-0.163480917,-0.19614969,-0.150721267,-0.016276948,0.02422669,0.003011389,0.020446232,-0.016260871,-0.009116668,-0.000666287,-0.042552114,-0.029494083,0.002575272
Acropoma_japonicum,NonFanning,-0.043926974,-0.105712881,-0.088364307,-0.058988938,-0.077241294,0.03707889,-0.017374527,-0.115805708,-0.033095977,-0.04985253,0.054894142,0.065414514,0.05207882,0.045207495,0.072256067,0.067660969,0.055655138,0.051446244,0.04473378,0.067240098
Girella_nigricans,NonFanning,-0.001376848,0.018475221,-0.003397165,-0.01840032,0.000602968,-0.033201218,0.028153959,0.018734048,0.007780587,-0.071982399,0.057888639,0.044766767,0.045296603,-0.01498966,0.034771164,0.065943185,0.024875249,0.085491774,0.035007878,0.024105972
Lepomis_cyanellus,Fanning,0.112297599,0.146907115,0.198662658,0.144326943,0.118372134,0.125084605,0.102249522,0.094928615,0.103742717,0.1125641,-0.011525768,0.019186629,0.008635598,0.02609746,-0.04167708,0.008807346,0.009006392,0.028479419,-0.017474915,-0.020894235
Lepomis_macrochirus,Fanning,0.042954783,0.093919533,0.084069092,0.12422053,0.09475365,0.092721622,0.067590185,0.106806116,0.091965272,0.043651655,-0.045360566,-0.030906723,0.012298886,0.002922715,-0.015843,0.014373173,0.029720484,0.021640357,0.036636668,0.014722687
Lepomis_megalotis,Fanning,0.13257551,0.076896597,0.023122978,0.104608757,0.065314588,0.147658874,0.099656062,0.08874461,0.101870907,0.069873903,-0.022762374,-0.011480714,-0.049401421,0.024174447,0.003367813,-0.014268384,0.019724643,-0.007573879,-0.043659096,0.026364481
