,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
35,-23.9549568,-34.93919138,-71.31325171,-72.19355884,-70.64082039,-70.25043476,-286.1024468,-303.6207846,-414.399856,-417.2700263,-413.8355431,-412.5157116
36,-30.95211285,-40.96261215,-74.06522414,-74.74396845,-73.34979774,-72.86385592,-284.9341579,-303.4653599,-414.3992985,-417.5901504,-415.1094742,-413.8244898
37,29.00336821,7.434467777,-48.09531429,-48.54194513,-46.43196731,-46.41418096,-284.3989211,-303.3504849,-415.2695049,-417.3031356,-414.9424345,-413.5193788
38,-27.56471717,-40.14054701,-72.37774726,-73.17796407,-72.38120359,-71.54174763,-286.5899647,-305.7438581,-414.3992979,-417.5753204,-414.9821663,-412.8208672
39,-33.19448277,-43.72116974,-76.19029091,-78.17437098,-77.50783986,-76.83941601,-284.5340054,-303.0878428,-414.3992995,-417.5874786,-415.1109097,-413.8136014
40,-31.8877449,-41.66962755,-74.12836639,-74.58941293,-73.32705275,-72.92149716,-287.4586964,-306.0658559,-414.3992973,-417.5834687,-415.1229809,-412.9195525
41,-21.70022614,-36.98308279,-70.88070655,-71.58213181,-70.67027973,-69.88555087,-261.2777786,-287.3234207,-414.4457712,-416.726864,-413.8347107,-413.9208137
42,-31.07667617,-40.52064405,-75.35523,-76.94721857,-75.51446418,-75.10341411,-280.3132845,-300.3047728,-414.4003643,-417.224139,-414.0455748,-412.710102
43,-14.7190794,-31.04821749,-67.60468297,-68.38672626,-67.43579408,-66.59961141,-242.3005248,-271.9839086,-414.4291945,-416.5972969,-414.1644575,-412.225041
44,-31.82992492,-41.84819357,-74.6112867,-75.80928302,-74.61226475,-74.0664172,-286.526185,-304.8957223,-414.3992984,-417.5641136,-413.6228915,-412.3681842
45,-32.37411309,-42.83242358,-74.55248972,-75.22179855,-74.15395016,-73.60207943,-287.3695776,-306.2170663,-414.9695327,-417.5700931,-414.9687036,-413.1273544
46,-31.48299127,-43.34297874,-74.19225542,-74.74773544,-73.79059438,-73.10743363,-286.3322545,-306.4737834,-414.3992999,-417.569615,-413.9870835,-412.8822073
47,-22.07389287,-36.67752606,-70.04125869,-70.7878529,-70.14263441,-69.222581,-287.0067378,-308.3057393,-414.3992993,-417.5120972,-414.9790252,-412.1355558
48,-33.81073733,-43.9272357,-75.58715007,-76.99736215,-75.93954089,-75.23252417,-284.8618403,-304.1339594,-414.3992999,-417.5641506,-414.3700418,-413.4792991
49,-27.43168086,-40.86959854,-72.76855485,-73.76909075,-73.19133535,-72.27306577,-283.4530111,-304.6506434,-414.399573,-417.304381,-414.4085324,-412.2823247
50,-19.2763156,-32.23494176,-68.97434666,-69.55417625,-68.05848754,-67.61826793,-288.3748305,-306.3796252,-414.3997208,-417.2865552,-414.6786332,-413.195129
51,74.47279454,44.87434026,-34.94167544,-78.02476205,-77.07877921,-76.48330845,-279.1163665,-300.6368123,-415.7979114,-417.5088712,-414.9302874,-414.4557072
52,-34.85972011,-40.70905275,-77.06735616,-77.65193991,-75.83589567,-75.65759611,-286.0868115,-302.9934211,-414.3992978,-417.6395781,-415.0750019,-413.8034194
53,-14.80640421,-29.68162307,-67.08968448,-68.21041371,-66.98795584,-66.27699772,-285.2480857,-306.5217173,-414.3990675,-417.5430332,-415.0810504,-412.7256908
54,-33.7067449,-42.69434829,-75.34528238,-76.63775735,-75.45924864,-75.07128684,-286.6992264,-307.3630372,-414.3993004,-417.5880956,-414.2450224,-413.1585785
55,-33.01214185,-43.03673059,-75.10444643,-75.98605547,-74.73300268,-74.15987433,-284.8944552,-303.845242,-414.399296,-417.5901181,-414.5672837,-414.5116303
56,40.4019153,17.72707872,-43.99899389,-43.3079026,-41.2293437,-41.4860393,-281.6269192,-300.6833597,-415.3960249,-417.4829237,-415.0599191,-414.2369012
57,-27.5013632,-40.17030432,-73.24246365,-74.19488712,-73.44933959,-72.56915779,-281.5281636,-302.304987,-414.3997749,-417.2635686,-413.6023576,-412.1284839
58,-38.17264061,-43.62866604,-78.68641789,-79.32464682,-77.90030265,-77.59742623,-289.3856852,-307.4532333,-414.3993093,-417.8198169,-415.0783342,-413.6384919
59,-27.78792272,-40.48919225,-71.86346264,-72.87405866,-72.13276843,-71.26759119,-286.8744369,-306.651513,-414.3993002,-417.5886779,-415.0074841,-413.2073406
60,-31.87830545,-41.49990308,-74.03632247,-75.03770929,-73.77019497,-73.25075939,-285.8056343,-303.6657339,-414.3992962,-417.5904487,-415.0321078,-414.4691331
