,OUM AICc,OUM PC1 Theta - NonSwimming,OUM PC1 Theta - Swimming,OUMA AICc,OUMA PC2 Theta - NonSwimming,OUMA PC2 Theta - Swimming
23,-59.62507338,-0.16785267,0.18144188,-182.3443403,0.014123889,-0.008494737
24,-59.50496077,-0.167572323,0.177110085,-180.9994563,0.012949035,-0.009048049
25,-59.07935116,-0.168219166,0.178632525,-184.041922,0.016422954,-0.008105947
26,-59.09106638,-0.168236337,0.176769359,-184.4269925,0.016612259,-0.008397169
27,-59.07776404,-0.168218306,0.178588188,-184.0602702,0.016295213,-0.008138118
28,-59.10222585,-0.168244024,0.17480199,-184.737618,0.016996167,-0.00890489
29,-59.16029879,-0.168239997,0.180091893,-184.2475521,0.016563433,-0.008385181
30,-59.17166815,-0.168107329,0.179153008,-183.9954198,0.01632982,-0.008003501
31,-59.08150206,-0.168216626,0.178516693,-184.1493579,0.016330514,-0.008091272
32,-59.16029885,-0.168239997,0.180091893,-184.2475213,0.016565369,-0.008383564
33,-59.04411955,-0.16830181,0.178273128,-184.1958417,0.016606423,-0.008000559
34,-59.24184935,-0.167970428,0.179040364,-183.7713719,0.01562567,-0.008279283
35,-59.07437579,-0.168217894,0.178545022,-184.0547229,0.016438983,-0.008113096
36,-59.07982397,-0.16821419,0.178439573,-184.1582408,0.016410088,-0.008046602
37,-59.16029904,-0.168239996,0.180091893,-184.249118,0.016479514,-0.008419987
38,-59.26756077,-0.167939942,0.178917956,-183.8064677,0.01555666,-0.008271785
39,-59.32821522,-0.167961879,0.179570647,-182.8269435,0.015224716,-0.008413068
40,-59.07982372,-0.168214191,0.178439573,-184.1437592,0.016781261,-0.007765528
41,-59.09009228,-0.168192164,0.178473058,-184.1435094,0.01645349,-0.007950789
42,-59.09688391,-0.168225839,0.178802296,-184.1070299,0.016487958,-0.008068516
43,-59.29285319,-0.167913432,0.178929053,-183.733566,0.015504395,-0.008233967
44,-59.43200736,-0.167783453,0.178846429,-183.1420116,0.014791856,-0.00844415
45,-59.07982401,-0.16821419,0.178439573,-184.1582408,0.016410088,-0.008046602
46,-59.09499546,-0.16824134,0.176160064,-184.5113681,0.017100261,-0.008384961
47,-59.4763032,-0.167777375,0.176372474,-183.212406,0.015209414,-0.008785626
48,-59.07982434,-0.16821419,0.178439573,-184.1582408,0.016410088,-0.008046603
49,-59.0572185,-0.168215958,0.178393654,-183.9714126,0.016304806,-0.008235188
50,-59.07982402,-0.16821419,0.178439573,-184.1582408,0.016410088,-0.008046602
51,-59.05187456,-0.168215909,0.178359404,-183.9577619,0.016569305,-0.008157357
52,-58.94567556,-0.168851413,0.177616975,-184.1015017,0.01746304,-0.007966424
53,-59.11207343,-0.168228294,0.179245866,-184.1435341,0.016370845,-0.008199402
54,-58.99007161,-0.168235703,0.177822837,-183.9740116,0.01644375,-0.00835138
55,-59.07982368,-0.16821419,0.178439573,-184.1437592,0.016781261,-0.007765528
56,-59.09499576,-0.16824134,0.176160064,-184.5240219,0.016723652,-0.008521929
57,-59.491778,-0.16771099,0.178559161,-182.4972885,0.013993479,-0.008816275
58,-59.07935123,-0.168219166,0.178632524,-184.0448446,0.016282355,-0.008166614
59,-59.09499559,-0.16824134,0.176160064,-184.5113682,0.017100261,-0.008384961
60,-59.08150205,-0.168216626,0.178516693,-184.1493579,0.016330514,-0.008091272
61,-58.5419078,-0.168121303,0.174498501,-184.0126967,0.017249905,-0.008106466
62,-59.01337316,-0.168650162,0.178712347,-183.9803743,0.016843945,-0.007985428
63,-59.01274887,-0.168209835,0.177908078,-184.0178288,0.016446049,-0.008285517
64,-59.10373382,-0.16822937,0.178901693,-184.0974084,0.016452207,-0.008090503
65,-59.52055256,-0.167661973,0.178111252,-182.1381662,0.013800593,-0.008828686
66,-59.48277763,-0.167697533,0.17834358,-182.3128189,0.013823161,-0.008909665
67,-59.41496416,-0.167510865,0.176193354,-179.9079426,0.012086951,-0.009368561
68,-59.16801197,-0.168062487,0.178759386,-184.0233918,0.01597938,-0.008135029
69,-58.97580509,-0.16859846,0.177613314,-182.512996,0.016602113,-0.008494916
70,-59.5467226,-0.167669249,0.17848729,-181.9971728,0.013506768,-0.008969925
71,-59.45659538,-0.167770634,0.179063305,-182.9082244,0.014544733,-0.008625435
