,OUM AICc,OUM PC1 Theta - NonSwimming,OUM PC1 Theta - Swimming,OUM AICc,OUM PC2 Theta - NonSwimming,OUM PC2 Theta - Swimming
63,-76.23184813,0.114282353,-0.076605952,-417.5904621,0.006479548,-0.020235843
64,-73.49903596,0.118033833,-0.078640787,-417.5905464,0.006475437,-0.020228804
65,-70.8026505,0.088388252,-0.055140674,-417.3819827,0.006095576,-0.019337511
66,-77.67566616,0.112313208,-0.074281655,-417.5181767,0.006266571,-0.019782848
67,-71.42954558,0.089079111,-0.055572575,-417.187849,0.006024458,-0.018956866
68,-70.16861172,0.106854407,-0.072225061,-417.5535949,0.006363854,-0.019982541
69,-72.67631843,0.106077137,-0.071701017,-417.5855914,0.006443178,-0.020171191
70,-74.83378946,0.100673585,-0.064419816,-417.5017421,0.006294244,-0.019728505
71,-59.52251587,0.08726087,-0.065341281,-417.8610673,0.006928735,-0.020504174
72,-73.03919564,0.107158333,-0.070419442,-417.4204432,0.006141041,-0.019454615
73,-76.72976734,0.108336105,-0.07417294,-417.5692747,0.006381951,-0.020044307
74,-69.09352199,0.086367379,-0.054709862,-417.3164846,0.006084716,-0.019202537
75,-68.91901289,0.102647758,-0.067706186,-417.5943218,0.006500677,-0.020270749
76,-76.34646677,0.116029702,-0.07643768,-417.5901472,0.006475706,-0.020228779
77,-76.13115376,0.121678595,-0.079721339,-417.5902132,0.006474474,-0.020226764
78,-75.86071865,0.104737909,-0.071901237,-417.5922663,0.006489718,-0.020252873
79,-67.23998138,0.095832825,-0.067691276,-416.9791013,0.005895446,-0.018500148
80,-74.91675212,0.112587807,-0.077537675,-417.5864806,0.006451671,-0.020183277
81,-74.90979794,0.106619458,-0.069636232,-417.4935942,0.006237187,-0.019703433
82,-73.25182042,0.099279543,-0.060632397,-417.5353811,0.006304775,-0.019861997
83,-74.21115894,0.111625747,-0.072449144,-417.5902135,0.006474968,-0.020227609
84,-78.93827121,0.110373915,-0.068362323,-417.2620813,0.006077939,-0.019090536
85,-75.22702495,0.109711131,-0.071909913,-417.5898009,0.006471469,-0.020220997
86,-75.34149178,0.113603398,-0.076195038,-417.0255813,0.005949849,-0.01856695
87,-77.07911209,0.112316474,-0.073440891,-417.5642468,0.006414596,-0.020067864
88,-68.77862957,0.105474327,-0.072404355,-417.5997026,0.006531975,-0.020315704
89,-76.07799945,0.105640084,-0.068022055,-417.4150685,0.006102361,-0.019402035
90,-77.91073455,0.112375873,-0.07041437,-417.5980173,0.006526511,-0.020250962
91,-76.70651498,0.118633259,-0.082507745,-417.4994232,0.006247292,-0.01972709
92,-77.1399891,0.102169255,-0.066064761,-417.592944,0.006484852,-0.02023728
93,-46.87467393,0.068742763,-0.064644534,-417.3826947,0.005856712,-0.018157816
94,-75.05900997,0.103481961,-0.073583744,-417.5709314,0.006382751,-0.020064853
95,-71.82448161,0.099983304,-0.066840276,-416.9460696,0.005902482,-0.018376755
96,-61.09265772,0.092232158,-0.066215173,-416.8518243,0.005900037,-0.017976596
97,-75.18681579,0.116423231,-0.076875819,-417.5904579,0.006478396,-0.02023381
98,-78.02356911,-0.063432304,0.192648944,-417.8957925,0.005642713,-0.017962048
99,-70.00996208,0.110392815,-0.079333661,-417.5945466,0.006501632,-0.020272708
100,-76.55906039,0.10962478,-0.069806944,-416.9710537,0.005934264,-0.018427962
