Genus_species,Fanning,PC1,PC2
Paralabrax_clathratus,NonFanning,0.109247353,0.060566708
Platycephalus_indicus,NonFanning,0.010227741,-0.042678805
Scorpaena_scrofa,NonFanning,0.118548208,0.054486108
Chelidonichthys_lucerna,NonFanning,-0.265032979,-0.03002693
Trigloporus_lastoviza,NonFanning,-0.244736991,0.006566799
Lepidotrigla_microptera,NonFanning,-0.268622961,0.008631813
Lepidotrigla_papilio,NonFanning,-0.120211569,-0.012819422
Gasterosteus_wheatlandi,Fanning,0.238508288,0.037238674
Gasterosteus_aculeatus,Fanning,0.148678045,-0.037981935
Spinachia_spinachia,Fanning,0.235445779,0.070659475
Pungitius_pungitius,Fanning,-0.068897246,0.023794578
Xiphister_atropurpureus,Fanning,-0.057507753,0.001077103
Xiphister_mucosus,Fanning,-0.076534423,-0.055413906
Ulvaria_subbifurcata,Fanning,0.026158333,-0.05605189
Cottus_hangiongensis,Fanning,0.184770469,-0.065146258
Cottus_gobio,Fanning,0.174380334,-0.017928382
Cottus_bairdii,Fanning,0.125611282,-0.108408482
Enophrys_bison,Fanning,0.064959293,-0.066577682
Myoxocephalus_quadricornis,Fanning,0.142442928,0.012283898
Myoxocephalus_scorpius,Fanning,-0.074562026,-0.007407562
Oligocottus_snyderi,NonFanning,0.111508125,-0.150244052
Diplospinus_multistriatus,NonFanning,-0.006977442,-0.029913896
Gempylus_serpens,NonFanning,-0.327390115,-0.011747586
Aphanopus_carbo,NonFanning,-0.108095017,-0.041778481
Sarda_sarda,NonFanning,-0.062405659,0.073018459
Thunnus_albacares,NonFanning,-0.319906359,-0.007107988
Euthynnus_affinis,NonFanning,-0.216739762,0.073814771
Nomeus_gronovii,NonFanning,-0.000260754,0.05640158
Synchiropus_altivelis,NonFanning,0.10781024,0.038480087
Callionymus_sagitta,NonFanning,0.096951286,-0.01309629
Odontobutis_obscura,Fanning,0.02278844,-0.036995302
Amblygobius_bynoensis,Fanning,0.124321208,-0.028384151
Rhinogobius_brunneus,Fanning,0.165895367,-0.037231276
Clevelandia_ios,NonFanning,0.162821169,-0.056911484
Glossogobius_callidus,Fanning,0.079384754,-0.124863444
Eviota_prasina,Fanning,0.00319919,-0.012179621
Gobiusculus_flavescens,Fanning,0.076821986,-0.049040617
Pomatoschistus_minutus,Fanning,0.227570386,-0.026418852
Pomatoschistus_microps,Fanning,0.358129698,-0.026972379
Knipowitschia_punctatissima,Fanning,0.349019253,-0.067051846
Amblygobius_phalaena,Fanning,0.243047671,-0.084145381
Valenciennea_muralis,Fanning,0.024508808,-0.051316573
Valenciennea_longipinnis,Fanning,-0.004789181,-0.052448388
Neogobius_melanostomus,Fanning,0.116294856,-0.00096977
Padogobius_bonelli,Fanning,0.205997062,-0.089969613
Zosterisessor_ophiocephalus,Fanning,0.341115948,-0.014578966
