Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2,,,,
Diodon_hystrix,0,1,26,205.2235081,27.14980941,-27.98865729,0.885720744,,,,
Tetraodon_cutcutia,1,,,,,,,,,,
Tetraodon_palembangensis,1,,,,,,,,,,
Monotrete_cochinchinensis,1,,,,,,,,,,
Tetraodon_turgidus,1,,,,,,,,,,
Acanthurus_nigroris,0,,45.5,210.8806144,25.22716622,-22.07748483,0.01540543,,,,
Argyrosomus_regius,0,1,157.5,237.7639532,19.56349258,5.386544102,-0.704468768,,,,
Miichthys_miiuy,0,,57.5,,,,,,,,
Caulolatilus_microps,0,,96,214.5813008,24.52880123,-18.31152854,-0.003743887,,,,
Lagodon_rhomboides,0,,,220.0561937,23.20767439,-12.68811637,-0.315294795,,,,
Acanthopagrus_australis,0,,,219.1838879,22.78442777,-13.46973339,-0.888993278,,,,
Ocyurus_chrysurus,0,,90,208.3386938,26.30505537,-24.77217678,0.616937338,,,,
Lutjanus_peru,0,,40,216.8237223,23.85894654,-15.98504552,-0.257980516,,,,
Lutjanus_russellii,0,,1.5,202.748126,27.97635474,-30.57255037,1.252040623,,,,
Uranoscopus_japonicus,0,,275,220.5077002,22.87786499,-12.18451004,-0.558220755,,,,
Ammodytes_tobianus,0,,48.5,294.6507845,10.40517587,62.99216096,0.552212062,,,,
Ammodytes_hexapterus,0,,137.5,,,,,,,,
Ammodytoides_gilli,0,,,206.4660825,27.65058079,-26.85683786,1.60248284,,,,
Acropoma_japonicum,0,,300,,,,,,,,
Girella_nigricans,0,,16,243.6800948,17.83191479,11.51802415,-1.340114452,,,,
Lepomis_cyanellus,1,,,,,,,,,,
Lepomis_macrochirus,1,0,,,,,,,,,
Lepomis_megalotis,1,,,,,,,,,,
Lepomis_gibbosus,1,,,,,,,,,,
Micropterus_dolomieu,1,,,,,,,,,,
Micropterus_salmoides,1,1,7,,,,,,,,
Etheostoma_nigrum,1,,,,,,,,,,
Etheostoma_radiosum,1,,,,,,,,,,
Etheostoma_crossopterum,1,,,,,,,,,,
Etheostoma_flabellare,1,,,,,,,,,,
Harpagifer_bispinis,1,,45,,,,,,,,
Paralabrax_clathratus,0,,31,241.9327564,18.11208608,9.74881248,-1.379832036,,,,
Platycephalus_indicus,0,,110,,,,,,,,
Scorpaena_scrofa,0,,260,230.8438549,20.1380205,-1.523635322,-1.388035254,,,,
Chelidonichthys_lucerna,0,,169,244.2688282,17.79841439,12.10313888,-1.266833789,,,,
Trigloporus_lastoviza,0,,,,,,,,,,
Lepidotrigla_microptera,0,,190,,,,,,,,
Lepidotrigla_papilio,0,,60,,,,,,,,
Gasterosteus_wheatlandi,1,,,,,,,,,,
Gasterosteus_aculeatus,1,1,50,317.0893877,7.620427834,85.56493642,1.861999566,,,,
Spinachia_spinachia,1,1,,310.4431135,8.503010424,78.86850108,1.530840208,,,,
Pungitius_pungitius,1,,,,,,,,,,
Xiphister_atropurpureus,1,,10,,,,,,,,
Xiphister_mucosus,1,,9,,,,,,,,
Ulvaria_subbifurcata,1,,,,,,,,,,
Cottus_hangiongensis,1,,,,,,,,,,
Cottus_gobio,1,,2,,,,,,,,
Cottus_bairdii,1,,,,,,,,,,
Enophrys_bison,1,,20,,,,,,,,
