"","V1","V2","V3","V4","V5","V6","V7"
"36",36,-74.7439684475173,0.105732642274327,-0.0688436671261955,-417.590150396849,0.00647442340977109,-0.0202265048000191
"37",37,-48.5419451335377,0.0741414588142432,-0.0680773794456935,-417.303135614987,0.00571579837040693,-0.0178432410782428
"38",38,-73.1779640744515,0.106961235283332,-0.0666476818803429,-417.57532038879,0.00640321113385298,-0.020086704500922
"39",39,-78.1743709791885,0.120100292024326,-0.084940147110535,-417.587478580713,0.00645847557406633,-0.0201952948515599
"40",40,-74.5894129320482,0.104046253072919,-0.0633545992094928,-417.583468660858,0.00643562170826878,-0.0201522323059512
"41",41,-71.5821318111317,0.100102495626821,-0.062370226130223,-416.726701603083,0.00573127815310778,-0.0178279525802808
"42",42,-76.9472185700696,0.116784238806165,-0.0810060436242432,-417.223677267167,0.00603919945052611,-0.0190086966199566
"43",43,-68.386726257574,0.0986743791374245,-0.0626860884503836,-416.597271930516,0.00554736018616067,-0.0176212534193564
"44",44,-75.8092830199187,0.115423206498118,-0.0734576190610684,-417.564113599992,0.00637134904135026,-0.0200162705361322
"45",45,-75.2217985454861,0.107603652964302,-0.0649551412912219,-417.570093121496,0.00638548054351987,-0.0200516604108417
"46",46,-74.7477354370889,0.104722003231615,-0.0650249063983074,-417.569614959483,0.00638905941202015,-0.020054882955226
"47",47,-70.7878529038844,0.102196523426613,-0.0622764951993948,-417.512097217234,0.0062409549045125,-0.0197365016054313
"48",48,-76.9973621473736,0.120608731490632,-0.0756442325006708,-417.564150577469,0.00637473074450934,-0.0200219236421369
"49",49,-73.7690907526385,0.108354987810237,-0.0702978860118107,-417.30407122213,0.00606720109727738,-0.0191769730737143
"50",50,-69.5541762459162,0.0973151643960741,-0.0655183458625156,-417.285968529449,0.0060382853661718,-0.0191509572694658
"51",51,-78.0231486433448,-0.0637449740084273,0.192509686597867,-417.50887117892,0.00526075930768763,-0.0169231276995976
"52",52,-77.6519399134219,0.105062776065632,-0.0712254545429506,-417.639578076748,0.0067141304430941,-0.0206297549788442
"53",53,-68.2104137099375,0.104259560286184,-0.0723174117523437,-417.543033155622,0.00640003911487067,-0.0198156197219594
"54",54,-76.6377573470467,0.115951404203946,-0.0741784750299858,-417.5880955706,0.00645981192731281,-0.0201986353268071
"55",55,-75.9860554663374,0.109280760490526,-0.0714292028110277,-417.5901180732,0.00647386467517792,-0.0202255080542135
"56",56,-43.3079026039874,0.0537281294521372,-0.0536445091378094,-417.482923715859,0.00583059084909651,-0.0181550595201442
"57",57,-74.1948871157763,0.106630811664314,-0.0689133791582541,-417.263030493836,0.00605536142627375,-0.0190947565726679
"58",58,-79.3246468193241,0.1079450592888,-0.066820213050031,-417.819816877595,0.00704483062426184,-0.0211147213927444
"59",59,-72.8740586649314,0.110975033795599,-0.0691311735257726,-417.588677917239,0.00646432023873249,-0.0202072426126386
"60",60,-75.0377092869028,0.113937454761019,-0.072998639043158,-417.590448728803,0.00647654349593409,-0.02023066522292
"61",61,-49.1586633281845,0.0720804843444631,-0.0709742218459062,-417.357198956349,0.00583095581607421,-0.0181048785053457
"62",62,-74.9844542651986,0.106382804373038,-0.0694559652344128,-417.363418540878,0.00607723686652767,-0.0193008742564333
"63",63,-76.2318481321171,0.114282352585359,-0.076605951978509,-417.590462137147,0.0064795478365425,-0.0202358427870227
"64",64,-73.4990359607403,0.118033833299619,-0.0786407869266558,-417.590546363302,0.00647543686189998,-0.0202288040996953
"65",65,-70.8026504975864,0.0883882517481815,-0.0551406738972378,-417.381982700057,0.0060955756318626,-0.0193375114708774
"66",66,-77.6756661638062,0.112313207969496,-0.0742816545456933,-417.518176685295,0.00626657093139858,-0.0197828483861115
"67",67,-71.4295455786838,0.0890791105389754,-0.0555725747723195,-417.187849017303,0.00602445765550831,-0.0189568657548125
"68",68,-70.1686117228411,0.106854406502313,-0.0722250613864079,-417.553594910097,0.0063638538659999,-0.0199825407161502
"69",69,-72.67631843444,0.106077136906296,-0.0717010170262223,-417.585591376692,0.00644317825077762,-0.0201711914282412
"70",70,-74.8337894620934,0.100673584619924,-0.0644198164794789,-417.501742107213,0.00629424440207453,-0.0197285046538307
"71",71,-59.522515866452,0.0872608699442653,-0.0653412812964904,-417.861067332118,0.00692873490066323,-0.0205041735657498
"72",72,-73.0391956426868,0.107158333488594,-0.0704194415446715,-417.420443156289,0.00614104073144195,-0.0194546153743011
"73",73,-76.7297673373841,0.108336105045381,-0.0741729401330651,-417.569274747973,0.00638195076658201,-0.0200443073455741
"74",74,-69.093521988627,0.086367378993841,-0.0547098620800428,-417.316484570695,0.00608471627296805,-0.0192025370242515
"75",75,-68.9190128859489,0.102647758491108,-0.0677061859714407,-417.594321815325,0.00650067732309942,-0.0202707491429898
"76",76,-76.3464667677564,0.116029701500168,-0.076437680330607,-417.590147205339,0.00647570576740419,-0.0202287791673593
"77",77,-76.1311537592343,0.121678594670343,-0.0797213388417475,-417.590213180255,0.00647447424801868,-0.0202267643753174
"78",78,-75.8607186546805,0.104737909374549,-0.0719012367349205,-417.59226634536,0.00648971794395558,-0.0202528725955004
"79",79,-67.2399813782069,0.0958328245945951,-0.0676912762159098,-416.979101331085,0.0058954455515835,-0.0185001476850326
"80",80,-74.9167521202709,0.11258780698755,-0.0775376748712944,-417.58648059234,0.00645167101562764,-0.0201832768458074
"81",81,-74.9097979426967,0.106619458135824,-0.0696362321750333,-417.493594201986,0.00623718691250223,-0.0197034334680863
"82",82,-73.2518204236972,0.0992795434287624,-0.0606323973181255,-417.535381089399,0.00630477528398516,-0.0198619969463785
"83",83,-74.2111589367467,0.111625747271671,-0.0724491443949422,-417.590213458183,0.00647496760213453,-0.0202276094269528
"84",84,-78.9382712061371,0.110373915178686,-0.0683623232681148,-417.262081278917,0.0060779392614489,-0.0190905361552318
"85",85,-75.2270249518577,0.109711131062891,-0.071909912886057,-417.589800920498,0.00647146866754866,-0.0202209973924614
"86",86,-75.3414917829149,0.113603397696427,-0.076195037757813,-417.025581327814,0.00594984895093244,-0.0185669499529845
"87",87,-77.0791120936726,0.112316473680578,-0.0734408911601998,-417.564246804201,0.0064145959591483,-0.0200678643155632
"88",88,-68.7786295706329,0.105474326897313,-0.0724043546127316,-417.599702645026,0.00653197451184397,-0.0203157035671935
"89",89,-76.0779994530832,0.1056400841519,-0.0680220549831791,-417.415068487977,0.00610236100639094,-0.0194020347823154
"90",90,-77.9107345505512,0.11237587284193,-0.0704143701894615,-417.598017327347,0.0065265113216235,-0.0202509623312455
"91",91,-76.7065149763241,0.11863325896311,-0.0825077446697943,-417.499423233637,0.00624729168347621,-0.0197270896068057
"92",92,-77.1399890970239,0.102169255338912,-0.0660647605453268,-417.592944039746,0.00648485190687617,-0.0202372800864446
"93",93,-46.8746739298447,0.0687427626474504,-0.0646445343500339,-417.382694665265,0.00585671211447088,-0.0181578162749669
"94",94,-75.0590099738528,0.10348196103084,-0.0735837435727692,-417.570931373728,0.00638275093339179,-0.0200648532502357
"95",95,-71.8244816067057,0.0999833038030369,-0.0668402761135401,-416.946069649027,0.00590248239006021,-0.0183767553347971
"96",96,-61.0926577189115,0.092232158432966,-0.0662151726982824,-416.85182429605,0.00590003653805671,-0.0179765961942221
"97",97,-75.1868157896447,0.116423231021449,-0.0768758194004431,-417.590457866276,0.00647839605798779,-0.0202338096063421
"98",98,-78.0235691130724,-0.0634323041255207,0.192648944030962,-417.895792502414,0.0056427125364554,-0.0179620476066574
"99",99,-70.0099620844966,0.11039281480983,-0.0793336614541624,-417.594546648692,0.00650163184883135,-0.020272708093989
"100",100,-76.5590603908486,0.109624779674957,-0.069806943882691,-416.971053676875,0.00593426387370896,-0.0184279618978366
