Genus_species,Fanning,PC1,PC2
Scomber_australasicus,NonFanning,-0.103950094,0.107980201
Scomber_japonicus,NonFanning,-0.089422879,0.051806359
Nomeus_gronovii,NonFanning,0.037534422,0.047953371
Fistularia_commersonii,NonFanning,0.153764481,-0.112769641
Synchiropus_altivelis,NonFanning,0.146360393,0.034871252
Callionymus_sagitta,NonFanning,0.136772749,-0.015419173
Aulostomus_chinensis,NonFanning,0.416917151,0.023417095
Macroramphosus_gracilis,NonFanning,-0.263477071,-0.007130214
Odontobutis_obscura,Fanning,0.061423841,-0.042208936
Amblygobius_bynoensis,Fanning,0.162880516,-0.032758152
Rhinogobius_brunneus,Fanning,0.20224553,-0.05851144
Clevelandia_ios,NonFanning,0.201098348,-0.064004173
Glossogobius_callidus,Fanning,0.119070778,-0.126390454
Eviota_prasina,Fanning,0.04392079,-0.01372821
Gobiusculus_flavescens,Fanning,0.115466983,-0.054504408
Pomatoschistus_minutus,Fanning,0.266021545,-0.03265333
Pomatoschistus_microps,Fanning,0.39560825,-0.037375437
Knipowitschia_punctatissima,Fanning,0.386679545,-0.071219137
Amblygobius_phalaena,Fanning,0.282025407,-0.087221598
Valenciennea_muralis,Fanning,0.063819283,-0.050988949
Valenciennea_longipinnis,Fanning,0.033475039,-0.051714055
Neogobius_melanostomus,Fanning,0.154787925,-0.001506443
Padogobius_bonelli,Fanning,0.244092814,-0.095534749
Zosterisessor_ophiocephalus,Fanning,0.380103039,-0.013768513
Neogobius_fluviatilis,Fanning,0.176193001,-0.065566395
Badis_badis,Fanning,0.09605955,0.170579047
Istiophorus_platypterus,NonFanning,-0.323296051,-0.02809813
Coryphaena_hippurus,NonFanning,-0.176765103,-0.053842435
Oligoplites_saurus,NonFanning,-0.057576499,0.014129855
Elagatis_bipinnulata,NonFanning,-0.187990449,0.077732364
Naucrates_ductor,NonFanning,-0.21117648,-0.019737445
Seriola_zonata,NonFanning,-0.125258734,-0.046657744
Pseudocaranx_dentex,NonFanning,-0.322202672,-0.077300109
Decapterus_punctatus,NonFanning,-0.194474232,0.006825192
Trachurus_novaezelandiae,NonFanning,-0.335487499,-0.065233779
Trachurus_declivis,NonFanning,-0.294324605,-0.039737853
Trachurus_lathami,NonFanning,-0.228507204,-0.026023519
Trachurus_picturatus,NonFanning,-0.323634536,-0.003264822
Alectis_ciliaris,NonFanning,-0.324775564,-0.080418948
Selene_peruviana,NonFanning,-0.315356069,-0.100111659
Hemicaranx_amblyrhynchus,NonFanning,-0.312040056,-0.057121095
Chloroscombrus_orqueta,NonFanning,-0.362791596,-0.102028602
Carangoides_bartholomaei,NonFanning,-0.246737888,-0.116758986
Caranx_caballus,NonFanning,-0.376152441,-0.087334096
Sphyraena_barracuda,NonFanning,-0.105022918,0.00917634
Psettodes_erumei,NonFanning,0.033137119,0.067186749
Citharus_linguatula,NonFanning,0.111683989,-0.031543334
Scophthalmus_rhombus,NonFanning,0.077558605,0.043379438
Zeugopterus_regius,NonFanning,0.085661568,0.048155375
Xystreurys_liolepis,NonFanning,-0.221231542,0.007772501
Citharichthys_fragilis,NonFanning,-0.183033657,0.057517339
Paralichthys_dentatus,NonFanning,-0.066100112,0.005127172
Paralichthys_olivaceus,NonFanning,0.173880472,0.048799731
Citharichthys_arctifrons,NonFanning,-0.293631216,-0.003286103
Etropus_microstomus,NonFanning,-0.150888092,0.047367048
Acanthopsetta_nadeshnyi,NonFanning,-0.338816707,0.006440989
Pleuronichthys_coenosus,NonFanning,-0.205794908,0.008438517
Lyopsetta_exilis,NonFanning,-0.270178906,-0.047241919
Eopsetta_grigorjewi,NonFanning,-0.113243572,0.017659976
Hippoglossus_hippoglossus,NonFanning,0.026391211,0.016011205
Glyptocephalus_zachirus,NonFanning,-0.39151751,-0.084099957
Glyptocephalus_cynoglossus,NonFanning,-0.121276546,0.01646547
Microstomus_kitt,NonFanning,-0.166822512,-0.089880316
Hippoglossoides_platessoides,NonFanning,0.268546743,-0.019903139
Hippoglossoides_elassodon,NonFanning,-0.182209167,-0.025496558
Pseudopleuronectes_americanus,NonFanning,0.183881756,0.078077829
Parophrys_vetulus,NonFanning,-0.11004215,0.013539153
Lepidopsetta_mochigarei,NonFanning,-0.011124288,0.128428461
Limanda_proboscidea,NonFanning,0.277911633,-0.021512347
Platichthys_flesus,NonFanning,0.075679814,0.066297782
Pleuronectes_platessa,NonFanning,0.118588417,0.029730425
Achirus_mazatlanus,NonFanning,0.049326078,-0.130963461
Zebrias_zebra,NonFanning,-0.23251637,-0.102265194
Austroglossus_microlepis,NonFanning,-0.312629433,-0.042885871
Dicologlossa_cuneata,NonFanning,-0.171058422,0.032762389
Pegusa_nasuta,NonFanning,-0.187005472,0.016430756
Pegusa_lascaris,NonFanning,0.01493271,0.025815585
Pegusa_impar,NonFanning,0.001377488,0.023157686
Rhombosolea_plebeia,NonFanning,0.068848353,0.050646005
Syacium_papillosum,NonFanning,0.138850894,0.062848139
Syacium_ovale,NonFanning,-0.081030184,0.080926172
Syacium_micrurum,NonFanning,-0.191583388,0.016322324
Cyclopsetta_panamensis,NonFanning,-0.094369324,0.011804374
Engyophrys_sanctilaurentii,NonFanning,-0.100404747,0.057159145
Arnoglossus_capensis,NonFanning,-0.12516228,0.056641276
Monolene_asaedae,NonFanning,-0.171498166,0.053973319
Hypsypops_rubicundus,Fanning,0.186098909,0.026368023
Dascyllus_aruanus,Fanning,0.016494905,-0.046201933
Dascyllus_marginatus,Fanning,0.225308117,0.020014733
Chromis_dispilus,Fanning,0.059022821,0.00661521
Chromis_chromis,Fanning,0.152958303,0.055909064
Premnas_biaculeatus,Fanning,0.362845852,-0.020280483
Amphiprion_ocellaris,Fanning,0.412716229,0.030073876
Amphiprion_percula,Fanning,0.426981072,-0.028631544
Amphiprion_melanopus,Fanning,0.242443147,0.011697784
Amphiprion_clarkii,Fanning,0.274706124,0.014783838
Amphiprion_sebae,Fanning,0.27990775,-0.041266928
Gobiesox_strumosus,Fanning,0.212788517,-0.007537396
Forsterygion_capito,Fanning,0.133834546,-0.157808258
Ruanoho_decemdigitatus,Fanning,0.367481405,-0.059960728
Parablennius_sanguinolentus,Fanning,0.195911532,-0.007479977
Polycentrus_schomburgkii,Fanning,0.174522488,0.084834255
Etroplus_maculatus,Fanning,-0.101640231,0.043820075
Bujurquina_vittata,Fanning,0.116099481,-0.000381381
Symphysodon_aequifasciatus,Fanning,0.055262566,0.015928146
Rocio_octofasciata,Fanning,0.25664984,0.022753693
Archocentrus_multispinosus,Fanning,0.108181856,0.064584547
Paraneetroplus_maculicauda,Fanning,0.047883926,0.012869375
Hemichromis_bimaculatus,Fanning,0.193949755,0.067725774
Tilapia_zillii,Fanning,-0.125391507,0.055205717
Pelmatolapia_mariae,Fanning,-0.203975382,-0.002050096
Tylosurus_acus_acus,NonFanning,-0.029611,0.104137603
Strongylura_notata_notata,NonFanning,-0.030408543,0.083473855
Hemiramphus_balao,NonFanning,-0.018874569,0.055381854
Hemiramphus_brasiliensis,NonFanning,-0.173367356,-0.076119733
Cypselurus_comatus,NonFanning,-0.261524466,0.015800516
Adinia_xenica,NonFanning,0.135701695,-0.052195552
Jordanella_floridae,Fanning,0.217508686,-0.000356109
