,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
81,81,-130.5453724,-128.4841011,-139.0642559,-151.6666155,-151.0698297,-395.5509,-400.2880772,-453.8248532,-456.3471369,-454.9036428
82,82,-125.7571228,-123.6881219,-134.6742235,-147.1341432,-146.7730259,-411.1589552,-413.3304274,-459.013999,-461.1549512,-459.4735025
83,83,-127.2379524,-125.2591486,-137.0139295,-149.9198811,-149.1674892,-338.5424029,-362.3551076,-447.3513099,-450.2829576,-445.8519055
84,84,-125.7590846,-123.6888511,-134.5299723,-146.9737963,-146.5939299,-411.1106527,-412.4289437,-458.7088378,-460.9315543,-459.1341641
85,85,-127.2701208,-125.2037285,-136.3004742,-148.9693201,-148.5746169,-385.5389913,-394.6924867,-450.5373562,-453.1353295,-452.0294821
86,86,-127.1326773,-125.0958669,-136.0918853,-148.7016573,-148.0824803,-406.693362,-409.0108849,-457.4443653,-459.6029667,-457.9322312
87,87,-121.3080275,-119.2328718,-131.788079,-144.782546,-144.688741,-410.7164042,-412.7035241,-459.2618022,-461.2112273,-459.559737
88,88,-125.8286576,-123.7563376,-134.7138367,-147.2919993,-146.905141,-410.9505244,-413.1785985,-458.7826946,-460.8772143,-459.213488
89,89,-123.5412445,-121.4699684,-133.4477557,-146.2649618,-145.9735511,-411.9691781,-414.2655506,-459.8381114,-461.8854996,-460.2326124
90,90,-127.4580909,-125.3895293,-136.4007948,-148.5077446,-148.0155373,-406.2081585,-405.9477968,-457.2226359,-459.5052569,-457.519774
91,91,-124.829178,-122.8358179,-134.4838141,-146.8546459,-146.2081095,-408.5194879,-410.6203532,-457.9082756,-460.0760883,-458.3880909
92,92,-127.8625446,-125.7957972,-136.572954,-148.9206776,-148.400971,-408.8145033,-409.8457325,-458.005016,-460.1329678,-458.3012602
93,93,-127.5890395,-125.539207,-136.2343701,-148.8646392,-148.2914852,-408.5129672,-411.514769,-457.9837829,-460.1770072,-458.6068665
94,94,-123.7751869,-122.0381674,-134.1431317,-146.8585803,-145.8169189,-409.8036928,-411.4106675,-458.7509766,-460.7526561,-459.0045149
95,95,-124.7137874,-122.6392831,-134.192552,-146.8924558,-146.7527084,-406.5763686,-409.722435,-457.4864459,-459.6333004,-458.0839015
96,96,-124.4783506,-122.4109448,-133.9726229,-146.5925019,-146.2106761,-410.0440855,-410.7546045,-458.5566785,-460.731768,-458.8827187
97,97,-125.0501432,-123.0230159,-134.190514,-146.8894819,-146.2449891,-411.5648593,-412.9006802,-458.7908892,-460.9043073,-459.1291522
98,98,-126.5627861,-124.5472637,-135.8050904,-148.1425693,-147.5253755,-402.6878791,-406.6354096,-456.1770614,-458.6025069,-457.1090197
99,99,-125.9189215,-123.9018211,-135.0190448,-147.3557032,-146.7049016,-410.7178894,-412.2896243,-458.5902391,-460.8184376,-459.0578015
100,100,-126.8350587,-124.7791233,-135.512186,-147.8835933,-147.4183304,-409.0024101,-410.7108377,-458.1684913,-460.4617722,-458.6856948
,,-126.1439792,-124.1257194,-135.4677771,-148.0018707,-147.4883447,-399.0301259,-403.8819803,-456.3852105,-458.6516623,-456.8011922
