Name,Group,PC1,PC2,PC1S,PC2S,Fanning,PectoralSwimming,All
Euthynnus_affinis,No Care,-0.216739762,0.073814771,-0.227547958,0.095966801,0,0,All
Nomeus_gronovii,No Care,-0.000260754,0.05640158,,,0,-,All
Synchiropus_altivelis,No Care,0.10781024,0.038480087,,,0,-,All
Callionymus_sagitta,No Care,0.096951286,-0.01309629,,,0,-,All
Odontobutis_obscura,Fanning,0.02278844,-0.036995302,,,1,-,All
Amblygobius_bynoensis,Fanning,0.124321208,-0.028384151,,,1,-,All
Rhinogobius_brunneus,Fanning,0.165895367,-0.037231276,,,1,-,All
Clevelandia_ios,No Care,0.162821169,-0.056911484,0.149800866,-0.0501482,0,1,All
Glossogobius_callidus,Fanning,0.079384754,-0.124863444,0.066336846,-0.125642315,1,1,All
Eviota_prasina,Fanning,0.00319919,-0.012179621,-0.014497669,0.042009251,1,1,All
Gobiusculus_flavescens,Fanning,0.076821986,-0.049040617,0.06565123,-0.041935494,1,1,All
Pomatoschistus_minutus,Fanning,0.227570386,-0.026418852,0.214618211,-0.041509439,1,1,All
Pomatoschistus_microps,Fanning,0.358129698,-0.026972379,0.342297768,-0.027689419,1,1,All
Knipowitschia_punctatissima,Fanning,0.349019253,-0.067051846,0.335889767,-0.044899954,1,1,All
Amblygobius_phalaena,Fanning,0.243047671,-0.084145381,0.227701963,-0.093510122,1,1,All
Valenciennea_muralis,Fanning,0.024508808,-0.051316573,0.013391349,-0.078123847,1,1,All
Valenciennea_longipinnis,Fanning,-0.004789181,-0.052448388,-0.014879047,-0.079196281,1,1,All
Neogobius_melanostomus,Fanning,0.116294856,-0.00096977,0.099877239,0.023430626,1,1,All
Padogobius_bonelli,Fanning,0.205997062,-0.089969613,0.193748787,-0.104403837,1,1,All
Zosterisessor_ophiocephalus,Fanning,0.341115948,-0.014578966,0.332726531,-0.025875541,1,1,All
Neogobius_fluviatilis,Fanning,0.13859234,-0.057472296,0.126609394,-0.054677851,1,1,All
Badis_badis,Fanning,0.054952092,0.170979999,,,1,-,All
Istiophorus_platypterus,No Care,-0.362366752,-0.031487097,,,0,-,All
Coryphaena_hippurus,No Care,-0.213878981,-0.04687321,-0.227323893,-0.069274758,0,0,All
Decapterus_punctatus,No Care,-0.232800869,0.01123962,-0.242359122,0.003572846,0,0,All
Trachurus_declivis,No Care,-0.331626589,-0.030350585,-0.343949819,-0.026683155,0,0,All
Alectis_ciliaris,No Care,-0.361931714,-0.068454744,-0.377675726,-0.054629665,0,0,All
Selene_peruviana,No Care,-0.353124375,-0.090957951,-0.368883552,-0.076336815,0,0,All
Carangoides_bartholomaei,No Care,-0.283365026,-0.105226893,-0.299622655,-0.114398828,0,0,All
Caranx_caballus,No Care,-0.41358612,-0.076475288,-0.429334669,-0.058166581,0,0,All
Hippoglossoides_platessoides,No Care,0.229766849,-0.012642713,0.216582151,-0.0223476,0,0,All
Parophrys_vetulus,No Care,-0.149257272,0.018465435,-0.160760077,0.039673282,0,0,All
Limanda_proboscidea,No Care,0.240322704,-0.012479785,0.229899045,-0.018738318,0,0,All
Syacium_papillosum,No Care,0.100470776,0.070376496,0.089991262,0.056948112,0,0,All
Hypsypops_rubicundus,Fanning,0.148490716,0.032738457,0.137987034,0.030403368,1,1,All
Dascyllus_aruanus,Fanning,-0.025562378,-0.056561172,-0.038408378,0.039377832,1,1,All
Dascyllus_marginatus,Fanning,0.188122241,0.026136854,0.178243806,0.025155059,1,1,All
Chromis_dispilus,Fanning,0.021271528,0.015608819,,,1,-,All
Chromis_chromis,Fanning,0.115992056,0.062546623,0.10828103,0.061725137,1,1,All
Premnas_biaculeatus,Fanning,0.325041885,-0.017449512,0.314857108,0.005613232,1,1,All
Amphiprion_ocellaris,Fanning,0.376023397,0.042705739,0.365910446,0.019180844,1,1,All
Amphiprion_percula,Fanning,0.389775752,-0.020664184,0.378392209,-0.021874454,1,1,All
Amphiprion_melanopus,Fanning,0.204126762,0.019230449,0.192895974,0.006099116,1,1,All
Amphiprion_clarkii,Fanning,0.235758266,0.013792253,0.228236751,0.058672601,1,1,All
